,date,demand,year,month,day,minute
0,01/01/2019 00:00:00,299.33653846153845,2019,1,1,0
1,01/01/2019 00:15:00,478.14423076923083,2019,1,1,15
2,01/01/2019 00:30:00,636.9423076923077,2019,1,1,30
3,01/01/2019 00:45:00,651.3557692307693,2019,1,1,45
4,01/01/2019 01:00:00,592.3557692307693,2019,1,1,0
5,01/01/2019 01:15:00,574.7692307692307,2019,1,1,15
6,01/01/2019 01:30:00,504.17307692307685,2019,1,1,30
7,01/01/2019 01:45:00,467.7403846153845,2019,1,1,45
8,01/01/2019 02:00:00,437.6153846153846,2019,1,1,0
9,01/01/2019 02:15:00,401.7403846153846,2019,1,1,15
10,01/01/2019 02:30:00,348.1153846153846,2019,1,1,30
11,01/01/2019 02:45:00,324.71153846153845,2019,1,1,45
12,01/01/2019 03:00:00,301.19230769230774,2019,1,1,0
13,01/01/2019 03:15:00,273.5673076923077,2019,1,1,15
14,01/01/2019 03:30:00,265.51923076923083,2019,1,1,30
15,01/01/2019 03:45:00,247.47115384615387,2019,1,1,45
16,01/01/2019 04:00:00,240.71153846153842,2019,1,1,0
17,01/01/2019 04:15:00,249.61538461538458,2019,1,1,15
18,01/01/2019 04:30:00,244.63461538461542,2019,1,1,30
19,01/01/2019 04:45:00,235.77884615384616,2019,1,1,45
20,01/01/2019 05:00:00,242.0769230769231,2019,1,1,0
21,01/01/2019 05:15:00,251.2019230769231,2019,1,1,15
22,01/01/2019 05:30:00,270.54807692307696,2019,1,1,30
23,01/01/2019 05:45:00,273.1538461538462,2019,1,1,45
24,01/01/2019 06:00:00,284.5961538461538,2019,1,1,0
25,01/01/2019 06:15:00,325.04807692307685,2019,1,1,15
26,01/01/2019 06:30:00,355.29807692307685,2019,1,1,30
27,01/01/2019 06:45:00,359.1538461538462,2019,1,1,45
28,01/01/2019 07:00:00,348.4423076923077,2019,1,1,0
29,01/01/2019 07:15:00,383.7403846153846,2019,1,1,15
30,01/01/2019 07:30:00,421.8076923076923,2019,1,1,30
31,01/01/2019 07:45:00,439.9134615384616,2019,1,1,45
32,01/01/2019 08:00:00,428.6826923076923,2019,1,1,0
33,01/01/2019 08:15:00,448.83653846153845,2019,1,1,15
